company_id,company_name,ctry_code,worldrank,nace2,isic4,year,rd,ns,capex,op,emp,patCN,patEP,patJP,patKR,patUS,TMnEU,TMnUS
494,DAIMLER,DE,10,2910,29-30,2016,7536.000106,153261.005878,5888.999905,12702.000327,282488,1,1,4,0,1,37,78
410,HUAWEI INVESTEMENT & HOLDING CO,CN,5,2610,26,2015,7527.761161,50340.849906,1770.937932,5835.072603,170000,,,,,,,
1677,FORD MOTOR,US,15,2910,29-30,2018,7161.568385,140033.110976,6799.123250,2797.378460,199000,1993,62,2,3,2028,24,24
1589,GENERAL MOTORS,US,18,2910,29-30,2016,7074.232213,130291.625857,24348.458275,8700.432256,225000,33,1,1,1,941,8,60
1940,APPLE,US,6,2620,26,2015,7045.411039,204117.789865,9822.702035,62209.572643,110000,,,,,,,
1677,FORD MOTOR,US,15,2910,29-30,2017,6986.896042,136922.210455,6156.328600,4262.879957,202000,2067,53,2,1,2440,18,41
502,BMW,DE,16,2910,29-30,2018,6889.999844,97479.999065,7776.999846,8975.000121,134682,1679,169,13,7,1273,28,72
1471,PFIZER,US,17,2120,21,2018,6816.590205,46853.251755,1783.405198,11829.688214,92400,35,49,35,31,50,12,114
1589,GENERAL MOTORS,US,18,2910,29-30,2018,6812.223699,128427.013755,22268.110886,3882.094054,173000,1349,17,12,7,1086,3,76
1471,PFIZER,US,17,2120,21,2016,6791.262887,46134.471893,1592.138899,11890.823022,96500,2,2,2,1,4,53,152
1494,FACEBOOK,US,11,6209,62-63,2017,6772.048771,35504.784435,5880.346056,17644.533888,25105,79,81,44,45,152,19,32
1471,PFIZER,US,17,2120,21,2015,6699.560210,42664.606124,1220.086706,11192.133650,97900,,,,,,,
993,HONDA MOTOR,JP,19,3091,29-30,2018,6580.057088,125205.397606,3315.733979,5723.936949,219722,1237,220,1961,11,1091,9,29
1589,GENERAL MOTORS,US,18,2910,29-30,2015,6550.214719,118537.053466,19134.487957,4836.678505,215000,,,,,,,
494,DAIMLER,DE,10,2910,29-30,2015,6529.000122,149467.006326,5075.000226,13088.000007,284015,,,,,,,
1471,PFIZER,US,17,2120,21,2017,6460.258737,45891.679823,1708.296011,13264.621608,90200,44,61,46,31,53,47,111
1589,GENERAL MOTORS,US,18,2910,29-30,2017,6375.542376,127151.027322,24133.611470,7564.188447,180000,1087,17,16,7,1486,10,24
1677,FORD MOTOR,US,15,2910,29-30,2016,6375.542376,132576.361299,6106.547080,5013.971124,201000,182,17,0,0,1973,11,52
490,ROBERT BOSCH,DE,20,2824,28,2018,6188.999861,78464.999795,3095.000051,5741.000175,409881,1949,1391,402,380,1144,72,57
1532,MERCK US,US,12,2120,21,2015,6122.267805,34496.050328,1120.523433,7421.830203,68000,,,,,,,
502,BMW,DE,16,2910,29-30,2017,6107.999943,98282.001913,7112.000138,9782.999754,129932,1365,249,35,8,1473,15,68
1532,MERCK US,US,12,2120,21,2016,5968.555808,34765.921533,1409.606310,5235.805176,68000,7,9,9,4,7,86,183
490,ROBERT BOSCH,DE,20,2824,28,2017,5934.000015,78065.998852,5477.000028,4823.999945,402166,1725,1248,474,353,1177,142,42
412,SIEMENS,DE,21,2811,28,2018,5909.000058,83043.999970,2602.000022,6082.999986,379000,1160,1619,160,147,1364,112,101
490,ROBERT BOSCH,DE,20,2824,28,2016,5907.999817,73128.998280,5212.999880,3125.000047,389281,126,86,45,21,174,123,63
601,SANOFI,FR,22,2120,21,2018,5890.000146,34462.999552,1976.999920,4767.000210,104226,161,166,89,37,134,64,62
993,HONDA MOTOR,JP,19,3091,29-30,2015,5870.619323,115059.912205,5005.310755,3966.700751,208399,,,,,,,
993,HONDA MOTOR,JP,19,3091,29-30,2017,5865.386687,121048.830450,3274.717601,6568.599492,215638,1120,296,1564,13,1224,6,30
1677,FORD MOTOR,US,15,2910,29-30,2015,5851.525348,130618.274212,6284.712814,6096.940022,199000,,,,,,,
412,SIEMENS,DE,21,2811,28,2017,5537.999794,83048.999310,2405.999927,7515.999954,372000,1201,1773,236,149,1515,76,103
1841,CISCO SYSTEMS,US,23,2630,26,2018,5530.128255,43082.948774,728.383893,11098.684743,74200,101,146,5,2,111,12,10
1841,CISCO SYSTEMS,US,23,2630,26,2016,5498.686805,43010.458350,1000.872813,11318.771169,73700,3,2,0,2,125,21,56
1529,BRISTOL-MYERS SQUIBB,US,24,2120,21,2018,5472.486373,19703.919068,830.567267,6775.542628,23300,109,115,82,106,91,47,51
601,SANOFI,FR,22,2120,21,2017,5450.000055,35071.998835,1955.999993,5884.000100,106566,158,169,130,50,161,45,60
1841,CISCO SYSTEMS,US,23,2630,26,2015,5420.958158,42935.349047,1071.615261,9828.816168,71833,,,,,,,
1792,ORACLE,US,25,5829,58-60,2016,5379.036535,33006.098121,1765.064546,11772.046797,138000,8,22,3,1,143,12,29
993,HONDA MOTOR,JP,19,3091,29-30,2016,5336.042494,110316.425562,3893.856425,6624.966394,211915,142,39,1195,1,152,7,44
1792,ORACLE,US,25,5829,58-60,2017,5319.647957,34395.616502,1516.156364,12143.225409,137000,228,239,82,28,290,7,35
1841,CISCO SYSTEMS,US,23,2630,26,2017,5291.700363,41925.743222,841.920963,11125.759222,72900,59,144,1,3,182,11,25
1792,ORACLE,US,25,5829,58-60,2018,5262.879189,34503.038973,1449.780888,12246.281840,136000,203,169,76,32,220,7,13
601,SANOFI,FR,22,2120,21,2015,5245.999899,36575.000733,2771.999920,5725.000054,123499,,,,,,,
490,ROBERT BOSCH,DE,20,2824,28,2015,5202.000029,70606.999099,4848.000128,4662.999883,374778,,,,,,,
1529,BRISTOL-MYERS SQUIBB,US,24,2120,21,2017,5199.124105,18144.968897,921.396888,5651.525222,23700,96,102,100,94,99,53,199
1494,FACEBOOK,US,11,6209,62-63,2016,5169.429816,24137.979373,3922.268748,10853.269137,17048,32,14,23,23,68,29,61
502,BMW,DE,16,2910,29-30,2015,5169.000011,92174.999416,5888.999905,9623.000398,111905,,,,,,,
502,BMW,DE,16,2910,29-30,2016,5164.000206,94163.000584,5822.999869,9327.000007,115842,57,23,9,6,906,17,85
455,BAYER,DE,26,2120,21,2017,5162.000190,46071.998775,2366.000088,11366.000399,99820,275,383,186,125,320,115,134
601,SANOFI,FR,22,2120,21,2016,5156.000145,36529.000849,2083.000029,7211.999968,121789,50,23,4,1,16,58,98
455,BAYER,DE,26,2120,21,2018,5109.000020,39586.000144,2592.999954,-361.000013,116998,198,333,139,102,277,91,105
412,SIEMENS,DE,21,2811,28,2016,5055.999849,79644.002020,2134.999959,7141.000126,351000,163,549,26,18,240,104,109
1792,ORACLE,US,25,5829,58-60,2015,5054.146051,32355.442643,1038.427348,11444.536038,136000,,,,,,,
1529,BRISTOL-MYERS SQUIBB,US,24,2120,21,2015,5030.564964,14462.875202,716.156850,1639.300375,25000,,,,,,,
673,ASTRAZENECA,GB,29,2120,21,2015,4960.696213,21579.027176,1159.824664,2694.321796,61500,,,,,,,
673,ASTRAZENECA,GB,29,2120,21,2016,4932.748619,20089.073107,1262.881444,3242.793260,59700,1,1,1,1,5,25,22
1986,QUALCOMM,US,27,2630,26,2018,4881.220404,19853.265956,684.715807,2405.239036,35400,1594,1419,341,512,1577,8,13
412,SIEMENS,DE,21,2811,28,2015,4819.999915,75635.999441,1897.000009,5809.000228,348000,,,,,,,
1986,QUALCOMM,US,27,2630,26,2015,4782.530479,22079.464048,868.121802,5182.530265,33000,,,,,,,
455,BAYER,DE,26,2120,21,2016,4774.000030,47536.998987,2578.000072,7236.999925,115200,7,59,8,1,23,73,143
1986,QUALCOMM,US,27,2630,26,2017,4772.923421,19468.113780,602.619722,4254.146479,33800,1578,1534,477,495,1514,3,15
1196,ALIBABA GROUP HOLDING,CN,28,4791,45-47,2018,4770.802334,48025.865108,4120.973404,7274.915464,101958,934,239,159,150,335,31,0
673,ASTRAZENECA,GB,29,2120,21,2017,4758.949857,19620.077685,1158.077968,1870.741486,61000,62,77,68,40,71,51,28
673,ASTRAZENECA,GB,29,2120,21,2018,4631.438293,19292.566925,910.916540,1318.776631,64400,62,70,51,42,64,11,20
1614,ABBVIE,US,30,2120,21,2018,4566.810094,28605.226427,557.204941,5715.280771,30000,32,43,30,21,42,12,24
1445,IBM,US,33,6201,62-63,2016,4546.722863,69798.216224,3115.282161,12127.504684,380300,95,66,40,1709,474,4,36
1986,QUALCOMM,US,27,2630,26,2016,4489.954095,20571.168512,470.742118,5551.962182,30500,106,100,37,35,733,18,23
1445,IBM,US,33,6201,62-63,2017,4465.499893,69116.994739,2820.085967,10462.002829,366600,1239,878,350,2153,2808,0,30
455,BAYER,DE,26,2120,21,2015,4435.999785,47270.998359,2517.000074,6577.999797,116800,,,,,,,
1614,ABBVIE,US,30,2120,21,2017,4351.089243,24642.780423,462.008495,8274.231106,29000,35,50,39,16,48,11,47
1880,DELL TECHNOLOGIES,US,31,2620,26,2018,4317.028448,79144.939780,1073.361957,6.113534,157000,260,28,2,1,226,19,36
1445,IBM,US,33,6201,62-63,2015,4292.574245,71389.481425,3125.762800,14464.621432,377757,,,,,,,
568,NOKIA,FI,36,2630,26,2016,4284.999799,23614.000529,476.999994,-1050.999970,101000,158,366,18,19,282,14,23
568,NOKIA,FI,36,2630,26,2017,4282.999784,23147.000000,600.999978,125.999999,103000,455,593,112,103,570,25,17
681,GLAXOSMITHKLINE,GB,34,2120,21,2017,4282.093607,33469.520509,1713.059377,4536.003806,98462,66,123,91,44,111,30,184
